stanice;lokalita;datum;srazky;snih;prumerna_teplota;maximalni_teplota;minimalni_teplota
GME00132274;PIDING;01.01.2015;0.0;330.0;;1.8;-10.6
GME00132274;PIDING;02.01.2015;5.7;260.0;;6.7;-10.2
GME00132274;PIDING;03.01.2015;43.7;100.0;;11.4;0.4
GME00132274;PIDING;04.01.2015;1.8;20.0;;3.5;0.5
GME00132274;PIDING;05.01.2015;0.0;30.0;;3.5;0.2
GME00132274;PIDING;06.01.2015;0.0;20.0;;4.4;-5.3
GME00132274;PIDING;07.01.2015;0.0;20.0;;3.3;-5.6
GME00132274;PIDING;08.01.2015;3.8;0.0;;11.0;-1.3
GME00132274;PIDING;09.01.2015;14.7;0.0;;14.4;1.6
GME00132274;PIDING;10.01.2015;10.5;0.0;;20.5;11.8
GME00132274;PIDING;11.01.2015;6.0;0.0;;13.4;0.6
GME00132274;PIDING;12.01.2015;0.0;0.0;;5.8;-4.4
GME00132274;PIDING;13.01.2015;0.0;0.0;;9.7;-5.2
GME00132274;PIDING;14.01.2015;6.0;0.0;;6.6;-4.1
GME00132274;PIDING;15.01.2015;0.0;0.0;;7.0;-2.1
GME00132274;PIDING;16.01.2015;0.0;0.0;;10.1;-3.6
GME00132274;PIDING;17.01.2015;4.9;0.0;;5.5;0.1
GME00132274;PIDING;18.01.2015;0.0;10.0;;2.5;-0.6
GME00132274;PIDING;19.01.2015;0.0;0.0;;3.9;-5.0
GME00132274;PIDING;20.01.2015;0.0;0.0;;1.4;-4.9
GME00132274;PIDING;21.01.2015;0.0;0.0;;3.0;-6.7
GME00132274;PIDING;22.01.2015;0.0;0.0;;0.7;-5.7
GME00132274;PIDING;23.01.2015;3.3;0.0;;1.1;-0.2
GME00132274;PIDING;24.01.2015;2.1;20.0;;0.8;-0.6
GME00132274;PIDING;25.01.2015;3.1;60.0;;0.4;-3.2
GME00132274;PIDING;26.01.2015;4.7;130.0;;0.3;-9.7
GME00132274;PIDING;27.01.2015;6.7;130.0;;2.2;-1.4
GME00132274;PIDING;28.01.2015;3.6;170.0;;4.0;-5.5
GME00132274;PIDING;29.01.2015;0.4;140.0;;2.9;-3.5
GME00132274;PIDING;30.01.2015;0.8;100.0;;4.2;-5.7
GME00132274;PIDING;31.01.2015;0.1;120.0;;4.0;-9.0
GME00132274;PIDING;01.02.2015;2.5;100.0;;1.8;-7.4
GME00132274;PIDING;02.02.2015;5.3;190.0;;1.5;-2.6
GME00132274;PIDING;03.02.2015;0.0;230.0;;0.2;-14.0
GME00132274;PIDING;04.02.2015;0.0;200.0;;-0.9;-3.9
GME00132274;PIDING;05.02.2015;0.0;180.0;;-1.8;-6.7
GME00132274;PIDING;06.02.2015;0.0;170.0;;-1.6;-4.3
GME00132274;PIDING;07.02.2015;0.1;150.0;;-0.8;-10.9
GME00132274;PIDING;08.02.2015;1.1;160.0;;0.9;-7.6
GME00132274;PIDING;09.02.2015;0.0;150.0;;3.1;-2.5
GME00132274;PIDING;10.02.2015;0.0;140.0;;6.5;-6.7
GME00132274;PIDING;11.02.2015;0.0;100.0;;2.1;-8.6
GME00132274;PIDING;12.02.2015;0.0;100.0;;0.5;-2.3
GME00132274;PIDING;13.02.2015;0.0;90.0;;1.7;-5.8
GME00132274;PIDING;14.02.2015;0.0;80.0;;3.7;-7.2
GME00132274;PIDING;15.02.2015;0.0;80.0;;3.0;-7.6
GME00132274;PIDING;16.02.2015;0.0;80.0;;4.0;-7.8
GME00132274;PIDING;17.02.2015;0.0;70.0;;6.4;-9.1
GME00132274;PIDING;18.02.2015;0.0;70.0;;0.7;-1.5
GME00132274;PIDING;19.02.2015;0.0;60.0;;4.4;-5.7
GME00132274;PIDING;20.02.2015;0.0;40.0;;12.5;-7.3
GME00132274;PIDING;21.02.2015;0.0;20.0;;11.1;-5.1
GME00132274;PIDING;22.02.2015;1.0;0.0;;3.1;-2.4
GME00132274;PIDING;23.02.2015;1.2;0.0;;9.1;-1.1
GME00132274;PIDING;24.02.2015;1.7;0.0;;4.7;1.2
GME00132274;PIDING;25.02.2015;0.3;0.0;;5.4;-0.1
GME00132274;PIDING;26.02.2015;0.0;0.0;;7.1;-3.7
GME00132274;PIDING;27.02.2015;1.5;0.0;;10.0;-5.6
GME00132274;PIDING;28.02.2015;0.2;0.0;;5.0;-0.4
GME00132274;PIDING;01.03.2015;5.4;0.0;;8.2;-4.7
GME00132274;PIDING;02.03.2015;15.6;0.0;;9.6;1.5
GME00132274;PIDING;03.03.2015;1.1;0.0;;8.9;-2.3
GME00132274;PIDING;04.03.2015;0.4;0.0;;7.0;-0.3
GME00132274;PIDING;05.03.2015;2.9;0.0;;3.6;0.1
GME00132274;PIDING;06.03.2015;0.0;0.0;;5.6;-0.5
GME00132274;PIDING;07.03.2015;0.0;0.0;;10.6;-3.8
GME00132274;PIDING;08.03.2015;0.0;0.0;;14.2;-4.6
GME00132274;PIDING;09.03.2015;0.0;0.0;;12.8;-4.4
GME00132274;PIDING;10.03.2015;0.0;0.0;;14.7;-4.2
GME00132274;PIDING;11.03.2015;4.0;0.0;;8.4;0.3
GME00132274;PIDING;12.03.2015;0.0;0.0;;6.9;0.4
GME00132274;PIDING;13.03.2015;0.0;0.0;;6.3;-3.9
GME00132274;PIDING;14.03.2015;0.0;0.0;;8.0;-4.7
GME00132274;PIDING;15.03.2015;0.0;0.0;;13.1;-2.2
