stanice;lokalita;datum;srazky;snih;prumerna_teplota;maximalni_teplota;minimalni_teplota
GME00132274;PIDING;01.12.2006;0.0;0.0;;4.2;1.0
GME00132274;PIDING;02.12.2006;0.0;0.0;;1.8;-1.7
GME00132274;PIDING;03.12.2006;0.0;0.0;;5.1;-4.6
GME00132274;PIDING;04.12.2006;19.0;0.0;;8.3;-0.9
GME00132274;PIDING;05.12.2006;0.0;0.0;;12.0;0.9
GME00132274;PIDING;06.12.2006;2.2;0.0;;13.3;1.0
GME00132274;PIDING;07.12.2006;0.0;0.0;;8.6;-0.1
GME00132274;PIDING;08.12.2006;0.0;0.0;;18.3;-1.7
GME00132274;PIDING;09.12.2006;6.8;0.0;;9.3;2.2
GME00132274;PIDING;10.12.2006;1.0;0.0;;4.6;-3.6
GME00132274;PIDING;11.12.2006;0.0;0.0;;4.1;-5.8
GME00132274;PIDING;12.12.2006;0.0;0.0;;5.7;-3.4
GME00132274;PIDING;13.12.2006;0.0;0.0;;7.5;-5.0
GME00132274;PIDING;14.12.2006;0.0;0.0;;7.8;-5.5
GME00132274;PIDING;15.12.2006;0.0;0.0;;8.3;-6.0
GME00132274;PIDING;16.12.2006;1.0;0.0;;10.2;-4.2
GME00132274;PIDING;17.12.2006;3.0;0.0;;6.5;-1.4
GME00132274;PIDING;18.12.2006;0.6;0.0;;2.4;0.6
GME00132274;PIDING;19.12.2006;0.0;0.0;;1.5;-3.7
GME00132274;PIDING;20.12.2006;0.0;0.0;;1.9;-7.5
GME00132274;PIDING;21.12.2006;0.0;0.0;;3.7;-6.7
GME00132274;PIDING;22.12.2006;0.0;0.0;;1.6;-8.8
GME00132274;PIDING;23.12.2006;0.0;0.0;;2.0;-8.4
GME00132274;PIDING;24.12.2006;0.0;0.0;;-1.1;-2.8
GME00132274;PIDING;25.12.2006;0.0;0.0;;-1.3;-3.3
GME00132274;PIDING;26.12.2006;0.0;0.0;;0.9;-7.7
GME00132274;PIDING;27.12.2006;0.0;0.0;;1.4;-8.7
GME00132274;PIDING;28.12.2006;0.7;0.0;;3.8;-9.1
GME00132274;PIDING;29.12.2006;0.1;0.0;;4.6;-3.1
GME00132274;PIDING;30.12.2006;1.3;0.0;;6.1;-5.7
